Team Number,ELO
frc4582,552.0
frc2897,552.0
frc2855,552.0
frc4549,552.0
frc2654,552.0
frc6167,552.0
frc6219,552.0
frc3843,552.0
frc4943,552.0
frc1764,554.9091
frc5207,565.0909
frc2881,565.0909
frc5539,568.0
frc5493,568.0
frc6131,568.0
frc6228,568.0
frc5816,568.0
frc5616,568.0
frc6118,568.0
frc5678,568.0
frc1230,567.68317
frc6524,568.0
frc6770,568.0
frc2560,568.0
frc4923,568.0
frc5777,568.0
frc3454,568.0
frc4950,568.0
frc6940,568.0
frc4332,568.0
frc6308,568.0
frc2574,570.9091
frc2135,576.72736
frc3859,583.68317
frc5180,584.0
frc2972,584.0
frc6068,584.0
frc3164,584.0
frc4500,584.0
frc4801,584.0
frc6106,584.0
frc6351,584.0
frc5149,584.0
frc6218,584.0
frc6204,584.0
frc4614,584.0
frc3756,584.0
frc3163,584.0
frc3728,584.0
frc5159,584.0
frc6147,584.0
frc3975,584.0
frc3981,584.0
frc4952,584.0
frc6728,584.0
frc2395,597.0909
frc3633,596.77405
frc2977,597.0909
frc6174,600.0
frc108,599.68317
frc2945,600.0
frc6048,600.0
frc5875,600.0
frc4218,600.0
frc4336,600.0
frc3834,600.0
frc3700,600.0
frc6652,600.0
frc6614,600.0
frc4648,600.0
frc5275,600.0
frc6386,600.0
frc6693,600.0
frc865,613.0909
frc5655,616.0
frc5886,616.0
frc606,616.0
frc691,616.0
frc4490,616.0
frc5196,616.0
frc5452,616.0
frc3027,616.0
frc4383,616.0
frc6134,616.0
frc4685,616.0
frc3491,616.0
frc6520,616.0
frc6227,616.0
frc6472,616.0
frc6619,616.0
frc4292,616.0
frc5479,616.0
frc854,616.0
frc2585,616.0
frc4412,616.0
frc3251,616.0
frc6677,616.0
frc4671,616.0
frc6660,616.0
frc6414,616.0
frc5440,616.0
frc6541,616.0
frc6435,616.0
frc6468,616.0
frc6669,616.0
frc6609,616.0
frc6730,616.0
frc3352,619.2259
frc5410,629.0909
frc6036,632.3169
frc6158,632.0
frc3648,632.0
frc1303,632.0
frc6188,632.0
frc5308,632.0
frc4012,632.0
frc663,632.0
frc3878,632.0
frc5776,632.0
frc4284,632.0
frc3201,632.0
frc2227,632.0
frc5019,632.0
frc2545,632.0
frc5859,632.0
frc6685,632.0
frc7000,632.0
frc6655,632.0
frc3017,634.9091
frc2437,642.18176
frc2333,645.0909
frc846,648.0
frc5728,648.0
frc2797,648.31683
frc3861,648.0
frc5842,648.0
frc1293,648.0
frc6379,648.0
frc4114,648.0
frc6014,648.0
frc4299,648.0
frc6506,648.0
frc1700,648.0
frc6711,648.0
frc5836,648.0
frc3489,648.0
frc2198,648.0
frc5094,648.0
frc1317,648.0
frc4119,648.0
frc1815,648.0
frc5092,648.0
frc4748,648.0
frc2080,648.0
frc5820,648.0
frc5908,648.0
frc6430,648.0
frc3290,648.0
frc3297,648.0
frc3292,648.0
frc4260,648.0
frc2480,648.0
frc6707,648.0
frc6320,648.0
frc6746,648.0
frc2425,648.0
frc6764,648.0
frc6683,648.0
frc6948,648.0
frc996,650.9091
frc4125,655.27264
frc4335,661.0909
frc1339,664.0
frc668,664.0
frc4669,664.0
frc1422,664.0
frc5772,664.0
frc687,664.0
frc1539,664.0
frc6107,664.0
frc4418,664.0
frc5837,664.0
frc1266,664.0
frc3004,664.0
frc5590,664.0
frc5433,664.0
frc7130,664.0
frc5940,664.0
frc1737,664.0
frc4252,664.0
frc4732,664.0
frc6171,664.0
frc6640,664.0
frc2500,664.0
frc5003,664.0
frc7095,664.0
frc6636,664.0
frc6527,664.0
frc5519,664.0
frc5033,664.0
frc1518,677.0909
frc5076,677.0909
frc2478,680.0
frc2344,680.0
frc5558,680.0
frc6070,680.0
frc6402,680.31683
frc3008,680.0
frc6179,680.0
frc5350,680.0
frc6157,680.0
frc4232,680.0
frc4932,680.0
frc5130,680.0
frc3561,680.0
frc6586,680.0
frc6223,680.0
frc6624,680.0
frc6494,680.0
frc6765,680.0
frc4525,682.9091
frc5863,682.9091
frc4655,690.1818
frc4093,693.0909
frc1072,696.0
frc100,696.0
frc2813,696.0
frc1644,696.0
frc3729,696.0
frc704,696.0
frc6658,696.0
frc1591,696.0
frc1246,696.0
frc4800,696.0
frc6694,696.0
frc5750,696.0
frc3390,696.0
frc1091,696.0
frc6135,696.0
frc5297,696.0
frc6111,696.0
frc5241,696.0
frc6407,696.0
frc6702,696.0
frc4845,696.0
frc4693,696.0
frc2499,696.0
frc2239,696.0
frc3090,696.0
frc5096,696.0
frc6391,696.0
frc6574,696.0
frc6416,696.0
frc6366,696.0
frc6553,696.0
frc1388,701.8182
frc4823,706.18176
frc3470,709.0877
frc1739,709.0909
frc5145,712.0
frc3814,712.0
frc5178,712.0
frc5721,712.0
frc3410,712.0
frc4056,712.0
frc1493,712.0
frc5879,712.0
frc4400,712.0
frc6212,712.0
frc5476,712.0
frc2040,712.0
frc3710,712.0
frc919,712.0
frc5325,712.0
frc4076,712.0
frc3240,712.0
frc2966,712.0
frc6315,712.0
frc6488,712.0
frc1566,712.0
frc6400,712.0
frc6444,712.0
frc5299,712.0
frc2479,712.0
frc2513,712.0
frc3691,712.0
frc6382,712.0
frc6670,712.0
frc3955,712.0
frc3382,712.0
frc6540,712.0
frc6724,712.0
frc1157,722.18176
frc6178,725.0909
frc4985,728.0
frc2190,728.0
frc5412,728.0
frc3704,728.0
frc1515,728.0
frc2347,728.0
frc5964,728.0
frc6154,728.0
frc5988,728.0
frc1178,728.0
frc1994,728.0
frc6222,728.0
frc4069,728.0
frc4343,727.68317
frc6460,728.0
frc3606,728.0
frc3946,728.0
frc1561,728.0
frc4523,728.0
frc1792,728.0
frc6317,728.0
frc6697,728.0
frc6754,728.0
frc6719,728.0
frc7246,728.0
frc5483,728.0
frc114,730.9091
frc4241,730.5923
frc5722,744.0
frc967,744.0
frc3646,744.0
frc3204,744.0
frc3003,744.0
frc4782,744.0
frc2522,744.0
frc3695,744.0
frc5503,744.0
frc3840,744.0
frc6054,744.0
frc5952,744.0
frc3985,744.0
frc6722,744.0
frc4267,744.0
frc3651,744.0
frc7075,744.0
frc6408,744.0
frc6353,744.0
frc5763,749.8182
frc3045,751.27264
frc1828,754.18176
frc1108,753.8649
frc5134,760.0
frc4415,760.0
frc4562,760.0
frc6210,760.0
frc6525,760.0
frc3013,760.0
frc2978,760.0
frc3792,760.0
frc3705,760.0
frc6052,760.0
frc5971,760.0
frc5930,760.0
frc3305,760.0
frc4238,760.0
frc3839,760.0
frc6641,760.0
frc6960,760.0
frc3560,762.9091
frc5700,776.0
frc4964,776.0
frc5966,776.0
frc4924,776.0
frc4065,776.0
frc4901,776.0
frc5584,776.0
frc5515,776.0
frc5100,776.0
frc6499,776.0
frc2487,776.0
frc3760,776.0
frc6319,776.0
frc5484,776.0
frc5126,776.0
frc1075,776.0
frc3000,776.0
frc1248,776.0
frc5898,776.0
frc6321,776.0
frc2861,776.0
frc5914,776.0
frc6536,776.0
frc7141,776.0
frc5627,776.0
frc4491,776.0
frc6601,776.0
frc3976,776.0
frc6654,776.0
frc6355,776.0
frc6464,776.0
frc6364,776.0
frc3949,776.0
frc5242,786.18176
frc5411,786.18176
frc1212,788.77405
frc2844,789.0909
frc5997,789.0909
frc115,792.0
frc1160,792.0
frc4953,792.0
frc5872,792.0
frc87,792.0
frc2538,792.0
frc6708,792.0
frc6309,792.0
frc2634,792.31683
frc5667,792.0
frc6027,792.0
frc5864,792.0
frc3029,792.0
frc6095,792.0
frc6051,792.0
frc4696,792.0
frc5871,792.0
frc5974,792.0
frc6358,792.0
frc4244,792.0
frc4665,792.0
frc7311,792.0
frc6385,792.0
frc6365,792.0
frc4942,792.0
frc7263,792.0
frc7125,792.0
frc670,794.90906
frc6008,794.9091
frc2141,800.7273
frc2151,805.0909
frc4616,805.0908
frc5806,805.0909
frc3044,805.0909
frc6141,805.0909
frc4397,805.0909
frc2643,808.0
frc5102,808.0
frc364,807.68317
frc2830,808.0
frc5897,808.0
frc3486,808.0
frc2228,808.0
frc5831,808.0
frc5049,808.0
frc6657,808.0
frc5060,808.0
frc5147,808.0
frc2335,808.0
frc3117,808.0
frc2386,808.0
frc4903,808.0
frc3037,808.0
frc5894,808.0
frc6126,808.0
frc2993,808.0
frc6420,808.0
frc6593,808.0
frc6484,808.0
frc6459,808.0
frc7323,808.0
frc7042,808.0
frc6651,808.0
frc6840,808.0
frc6687,808.0
frc6462,808.0
frc7205,808.0
frc6380,808.0
frc6688,808.0
frc5953,810.9091
frc4153,820.77405
frc6220,821.0909
frc3482,824.31683
frc5101,824.0
frc5045,824.0
frc6163,824.0
frc5845,824.0
frc6198,824.0
frc1557,824.0
frc5025,824.0
frc6604,824.0
frc6305,824.0
frc5973,824.0
frc900,824.0
frc3055,824.0
frc6047,824.0
frc2989,824.0
frc5339,824.0
frc4239,824.0
frc3058,824.0
frc2232,824.0
frc6744,824.0
frc6952,824.0
frc6706,824.0
frc6806,824.0
frc6384,824.0
frc5052,824.0
frc6526,824.0
frc7321,824.0
frc7096,824.0
frc6873,824.0
frc3171,826.9091
frc4939,834.18176
frc2185,837.0909
frc5026,840.0
frc6039,840.0
frc848,840.0
frc5034,840.0
frc2485,840.0
frc354,840.3168
frc3526,840.0
frc6017,840.0
frc5419,840.0
frc4765,840.0
frc2838,840.0
frc2353,840.0
frc4992,840.0
frc4316,840.0
frc5866,840.0
frc5103,840.0
frc6155,840.0
frc2583,840.0
frc5783,840.0
frc6377,840.0
frc6457,840.0
frc6634,840.0
frc4687,840.0
frc2508,840.0
frc5451,840.0
frc4955,840.0
frc6743,840.0
frc5744,840.0
frc6302,840.0
frc6937,840.0
frc7238,840.0
frc6628,840.0
frc6369,840.0
frc7121,840.0
frc6936,840.0
frc5274,842.9129
frc4192,845.81824
frc3184,849.8651
frc3669,855.6831
frc2367,856.0
frc5465,856.0
frc5835,856.0
frc6001,856.0
frc4578,856.0
frc6769,856.0
frc5822,856.0
frc5596,856.0
frc5031,855.68317
frc695,856.0
frc4914,856.0
frc6162,856.0
frc1742,856.0
frc6028,856.0
frc4091,856.0
frc7301,856.0
frc7316,856.0
frc5653,856.0
frc4031,856.0
frc6686,856.0
frc6409,856.0
frc7194,856.0
frc7313,856.0
frc7027,856.0
frc6656,856.0
frc7184,856.0
frc6752,856.0
frc7119,856.0
frc7115,856.0
frc6140,856.0
frc6410,856.0
frc7308,856.0
frc7268,856.0
frc4731,866.1818
frc649,869.0908
frc3944,868.77405
frc5002,869.0909
frc6035,869.027
frc3679,869.0908
frc981,872.0
frc702,872.0
frc3468,872.0
frc1523,872.0
frc6232,872.0
frc6169,871.968
frc3953,872.0
frc5884,872.0
frc6200,872.0
frc4371,872.0
frc5326,872.0
frc4212,872.0
frc5013,872.0
frc1787,872.0
frc5611,872.0
frc3043,872.0
frc7260,872.0
frc3212,872.0
frc4277,872.0
frc6755,872.0
frc522,872.0
frc6463,872.0
frc6938,872.0
frc7324,872.0
frc5158,872.0
frc6238,872.0
frc3026,874.90906
frc1369,877.8182
frc4940,885.0909
frc6166,885.09094
frc852,888.0
frc3189,888.0
frc2083,888.0
frc5318,888.0
frc5243,888.0
frc4330,888.0
frc1382,888.0
frc5585,888.0
frc6083,888.0
frc5171,888.0
frc5918,888.0
frc2051,888.0
frc886,888.0
frc5409,888.0
frc4938,888.0
frc4921,888.0
frc5288,888.0
frc1927,888.0
frc2765,888.0
frc6235,888.0
frc5682,888.0
frc3545,888.0
frc6173,888.0
frc5445,888.0
frc6733,888.0
frc7288,888.0
frc6044,888.0
frc877,888.0
frc2549,888.0
frc3278,888.0
frc6467,888.0
frc6732,888.0
frc6991,888.0
frc6040,888.0
frc6648,888.0
frc6479,888.0
frc6482,888.0
frc6931,888.0
frc7006,888.0
frc6946,888.0
frc6563,888.0
frc3739,888.0
frc6962,888.0
frc1825,890.59235
frc1569,891.22595
frc3324,893.81824
frc4526,901.0909
frc3009,903.99365
frc5104,904.0
frc1967,904.0
frc1452,903.68317
frc980,904.0
frc442,904.0
frc4090,904.0
frc2077,904.0
frc6069,904.0
frc6692,904.0
frc6676,904.0
frc6436,904.0
frc6432,904.0
frc2022,904.0
frc4191,904.0
frc5580,904.0
frc4015,904.0
frc1547,904.0
frc5739,904.0
frc2582,904.0
frc5681,904.0
frc1164,904.0
frc5913,904.0
frc3754,904.0
frc4762,904.0
frc2606,904.0
frc3734,904.0
frc3381,904.0
frc6999,904.0
frc6398,904.0
frc3851,904.0
frc7214,904.0
frc6906,904.0
frc4764,904.0
frc6673,904.0
frc6804,904.0
frc7102,904.0
frc6983,904.0
frc6965,904.0
frc6814,904.0
frc5312,906.90906
frc3750,917.09094
frc1360,917.0909
frc2657,920.0
frc1138,920.0
frc3397,920.0
frc2027,920.0
frc4519,919.36633
frc3480,920.0
frc6050,920.0
frc6510,920.0
frc7023,920.0
frc1982,920.0
frc4704,920.0
frc3504,920.0
frc3498,920.0
frc5307,920.0
frc3676,920.0
frc4155,920.0
frc6363,920.0
frc4219,920.0
frc6306,920.0
frc3405,920.0
frc6647,920.0
frc6923,920.0
frc7066,920.0
frc6056,920.0
frc4741,920.0
frc6819,920.0
frc2827,920.0
frc5095,920.0
frc7033,920.0
frc6850,920.0
frc3984,920.0
frc5423,920.0
frc7030,920.0
frc7185,920.0
frc6904,920.0
frc6645,920.0
frc7091,920.0
frc6981,920.0
frc271,922.9092
frc5153,936.0
frc4991,936.0
frc216,936.0
frc6406,935.68317
frc171,936.0
frc5814,936.0
frc6607,936.0
frc1329,936.0
frc1038,936.0
frc1984,936.0
frc5426,936.0
frc4107,936.0
frc4298,936.0
frc3335,936.0
frc4295,936.0
frc6547,936.0
frc4570,936.0
frc4598,936.0
frc6483,936.0
frc5253,936.0
frc4663,936.0
frc3751,936.0
frc5586,936.0
frc3957,936.0
frc4957,936.0
frc6870,936.0
frc4630,936.0
frc7017,936.0
frc5032,936.0
frc2702,936.0
frc7165,936.0
frc6916,936.0
frc7317,936.0
frc4716,949.0908
frc1902,952.0
frc1972,952.0
frc2543,952.0
frc6447,952.0
frc6996,952.0
frc2504,952.0
frc4805,952.0
frc4301,952.0
frc6855,952.0
frc2515,952.0
frc6381,952.0
frc6356,952.0
frc6376,952.0
frc5444,952.0
frc6911,952.0
frc7031,952.0
frc2710,952.0
frc6922,952.0
frc7025,952.0
frc7237,952.0
frc7106,952.0
frc6403,952.0
frc6979,952.0
frc6926,952.0
frc6704,952.0
frc7036,952.0
frc6237,965.09094
frc3054,965.09094
frc692,968.0
frc5869,968.0
frc5276,968.0
frc5646,968.0
frc5078,967.968
frc6123,968.0
frc1797,968.0
frc4262,968.0
frc6998,968.0
frc5492,968.0
frc5730,968.0
frc4617,968.0
frc5811,968.0
frc4978,968.0
frc5986,968.0
frc2882,968.0
frc6196,968.0
frc6492,968.0
frc2177,968.0
frc2491,968.0
frc3007,968.0
frc4583,968.0
frc7080,968.0
frc4027,968.0
frc7251,968.0
frc3387,968.0
frc6868,968.0
frc7065,968.0
frc7193,968.0
frc7327,968.0
frc6967,968.0
frc7055,968.0
frc6918,968.0
frc6822,968.0
frc358,970.90906
frc4533,973.8181
frc4711,975.27264
frc4625,976.75934
frc2348,978.1819
frc2457,981.09094
frc3319,984.0
frc4721,984.0
frc2809,984.0
frc3510,984.0
frc4098,984.0
frc4907,984.0
frc5749,984.0
frc1676,984.0
frc4007,984.0
frc2221,984.0
frc1448,984.0
frc2986,984.0
frc4734,984.0
frc5754,984.0
frc4585,984.0
frc4986,984.0
frc4728,984.0
frc4859,984.0
frc4226,984.0
frc3244,984.0
frc3036,984.0
frc2518,984.0
frc7309,984.0
frc6766,984.0
frc4306,984.0
frc7326,984.0
frc6748,984.0
frc6871,984.0
frc6915,984.0
frc7057,984.0
frc7272,984.0
frc7278,984.0
frc7137,984.0
frc884,986.9091
frc4458,989.81824
frc6221,996.7742
frc3019,997.09094
frc2662,997.09094
frc3061,997.09094
frc4018,1000.0
frc3556,1000.3168
frc4575,1000.0
frc4471,1000.0
frc5573,1000.0
frc4723,1000.0
frc4842,1000.0
frc5125,1000.0
frc3868,1000.0
frc5176,1000.0
frc3543,1000.0
frc4248,1000.0
frc5408,1000.0
frc4353,1000.0
frc3243,1000.0
frc2078,1000.0
frc3871,1000.0
frc2532,1000.0
frc5903,1000.0
frc6749,1000.0
frc6889,1000.0
frc6643,1000.0
frc6383,1000.0
frc7201,1000.0
frc2914,1000.0
frc7111,1000.0
frc6934,1000.0
frc7157,1000.0
frc6874,1000.0
frc6474,1000.0
frc6964,1000.0
frc6644,1000.0
frc1458,1005.81824
frc5439,1010.1819
frc2918,1013.09094
frc2167,1013.0908
frc5107,1016.0
frc4020,1016.0
frc2773,1016.0
frc4240,1016.0
frc1438,1016.0
frc3341,1016.0
frc4528,1016.0
frc5421,1016.0
frc4917,1016.0
frc5885,1016.0
frc6130,1016.0
frc2354,1016.0
frc3152,1016.0
frc4639,1016.0
frc7275,1016.0
frc7331,1016.0
frc3294,1016.0
frc2529,1016.0
frc6359,1016.0
frc6362,1016.0
frc6360,1016.0
frc5179,1016.0
frc6892,1016.0
frc7072,1016.0
frc3259,1016.0
frc7059,1016.0
frc6955,1016.0
frc7303,1016.0
frc6901,1016.0
frc7229,1016.0
frc6988,1016.0
frc6820,1016.0
frc343,1018.90906
frc4497,1018.9092
frc5039,1018.9091
frc5168,1018.9092
frc3354,1026.1818
frc4818,1029.0908
frc3257,1032.0
frc1280,1032.0
frc2489,1032.0
frc2815,1032.0
frc1466,1032.0
frc4944,1032.0
frc5568,1032.0
frc6145,1032.0
frc6231,1032.0
frc6165,1032.0
frc4161,1032.0
frc871,1032.0
frc5946,1032.0
frc6575,1032.0
frc6836,1032.0
frc6650,1032.0
frc1285,1032.0
frc4783,1031.6832
frc2632,1032.0
frc5689,1032.0
frc2950,1032.0
frc5578,1032.0
frc1745,1032.0
frc5416,1032.0
frc2789,1032.0
frc6727,1032.0
frc4310,1032.0
frc7094,1032.0
frc2879,1032.0
frc5271,1032.0
frc5996,1032.0
frc6950,1032.0
frc6758,1032.0
frc6515,1032.0
frc6491,1032.0
frc6517,1032.0
frc6833,1032.0
frc6801,1032.0
frc6701,1032.0
frc7277,1032.0
frc3612,1045.091
frc5808,1048.0
frc5136,1047.6831
frc5285,1048.0
frc2261,1048.0
frc2152,1048.0
frc5015,1048.0
frc5810,1048.0
frc1468,1048.0
frc1396,1048.0
frc3157,1048.0
frc2706,1048.0
frc6024,1048.0
frc6662,1048.0
frc1939,1048.0
frc4209,1048.0
frc5212,1048.0
frc5093,1048.0
frc4656,1048.0
frc6371,1048.0
frc6433,1048.0
frc4283,1048.0
frc6401,1048.0
frc6422,1048.0
frc6626,1048.0
frc6968,1048.0
frc7149,1048.0
frc6357,1048.0
frc5787,1048.0
frc2341,1050.909
frc5133,1053.8184
frc4567,1058.1819
frc295,1064.0
frc2916,1064.0
frc5522,1064.0
frc601,1064.0
frc6590,1063.6832
frc3522,1064.0
frc1785,1064.0
frc5024,1064.0
frc5883,1064.0
frc4688,1064.0
frc1860,1064.0
frc5838,1064.0
frc2969,1064.0
frc3289,1064.0
frc6546,1064.0
frc6680,1064.0
